filename,x_0,y_0,z_0,v_0,x_1,y_1,z_1,v_1,x_2,y_2,z_2,v_2,x_3,y_3,z_3,v_3,x_4,y_4,z_4,v_4,x_5,y_5,z_5,v_5,x_6,y_6,z_6,v_6,x_7,y_7,z_7,v_7,x_8,y_8,z_8,v_8,x_9,y_9,z_9,v_9,x_10,y_10,z_10,v_10,x_11,y_11,z_11,v_11,x_12,y_12,z_12,v_12,x_13,y_13,z_13,v_13,x_14,y_14,z_14,v_14,x_15,y_15,z_15,v_15,x_16,y_16,z_16,v_16,x_17,y_17,z_17,v_17,x_18,y_18,z_18,v_18,x_19,y_19,z_19,v_19,x_20,y_20,z_20,v_20,x_21,y_21,z_21,v_21,x_22,y_22,z_22,v_22,x_23,y_23,z_23,v_23,x_24,y_24,z_24,v_24,x_25,y_25,z_25,v_25,x_26,y_26,z_26,v_26,x_27,y_27,z_27,v_27,x_28,y_28,z_28,v_28,x_29,y_29,z_29,v_29,x_30,y_30,z_30,v_30,x_31,y_31,z_31,v_31,x_32,y_32,z_32,v_32
0656746b1c0347aacbd7ca256a6ecd1e.jpg,0.011164,-0.965316,-3.855405,0.999993,0.021257,-1.022473,-3.691883,0.999979,0.02846,-1.021225,-3.692001,0.999979,0.037184,-1.018488,-3.692364,0.999977,-0.003771,-1.026483,-3.740893,0.999973,-0.014246,-1.026727,-3.741369,0.999976,-0.024746,-1.025949,-3.741533,0.999975,0.047503,-0.971955,-2.535858,0.999956,-0.042426,-0.977727,-2.800249,0.999969,0.025112,-0.87235,-3.404287,0.999994,-0.006836,-0.875366,-3.478972,0.999993,0.109113,-0.488023,-1.635685,0.999987,-0.119186,-0.511977,-1.881706,0.999959,0.135574,0.075176,-0.961045,0.988136,-0.159431,0.074523,-1.493136,0.993675,0.166104,0.569121,-1.993519,0.989369,-0.186295,0.551022,-2.527027,0.990359,0.182969,0.717375,-2.31478,0.977111,-0.199911,0.696298,-2.864827,0.980008,0.16925,0.723004,-2.70732,0.979025,-0.182931,0.700211,-3.228405,0.981641,0.16073,0.691939,-2.169545,0.977477,-0.173546,0.662243,-2.687976,0.980538,0.071059,0.492806,-0.035049,0.999491,-0.060986,0.507194,0.034433,0.999078,0.029335,1.300118,-0.391823,0.907091,-0.03977,1.281963,-0.245876,0.820075,0.004726,2.127439,1.01864,0.829163,0.006743,1.983206,1.294955,0.679603,-0.003616,2.183921,1.070134,0.419386,0.005316,2.033815,1.378066,0.340289,-0.007553,2.432035,-0.187811,0.751746,-0.009379,2.268391,0.161455,0.675579
0cc474bfc2c0042cd08ebf5d09251e89.jpg,-0.004595,-0.889453,-2.755772,0.99999,0.00847,-0.948148,-2.629406,0.999961,0.017129,-0.947852,-2.629829,0.999962,0.025708,-0.947636,-2.630206,0.999964,-0.022537,-0.949543,-2.652612,0.999946,-0.034344,-0.949333,-2.652702,0.999944,-0.044284,-0.94916,-2.652883,0.999942,0.034163,-0.920844,-1.546893,0.999945,-0.060975,-0.919885,-1.661305,0.999919,0.012651,-0.814011,-2.31264,0.999992,-0.025568,-0.809387,-2.346712,0.999989,0.100905,-0.524098,-0.700124,0.999993,-0.123517,-0.475902,-0.742275,0.999944,0.137495,0.026497,-0.030182,0.985871,-0.135512,0.067396,-0.113732,0.966316,0.152554,0.535347,-0.897431,0.98737,-0.156878,0.562905,-0.855824,0.956062,0.167608,0.682426,-1.167153,0.975277,-0.171117,0.720985,-1.097381,0.92769,0.147659,0.692644,-1.528782,0.977254,-0.159165,0.723412,-1.482989,0.934145,0.139209,0.649529,-1.050172,0.972585,-0.151098,0.67726,-1.017778,0.927333,0.076604,0.490829,0.017244,0.999687,-0.053993,0.509171,-0.018227,0.99941,0.072597,1.375433,-0.445308,0.978677,-0.011413,1.382127,-0.374099,0.944164,0.041216,2.074911,1.130049,0.962391,-0.006523,2.115546,1.022686,0.926376,0.03481,2.120162,1.200958,0.559712,-0.007962,2.165204,1.084894,0.504722,0.018457,2.450997,-0.213434,0.934963,-0.010358,2.461328,-0.326766,0.916482
10133167905951861.jpg,0.040684,-0.837532,-0.352981,0.999997,0.04428,-0.895811,-0.17269,0.999997,0.047875,-0.892202,-0.171868,0.999994,0.051129,-0.888904,-0.172044,0.999997,0.030541,-0.906883,-0.248909,0.999995,0.024084,-0.910767,-0.248776,0.999991,0.017495,-0.915224,-0.248995,0.999995,0.046601,-0.852618,0.767805,0.999993,-0.006368,-0.884068,0.381595,0.999996,0.044102,-0.767225,-0.009642,0.999993,0.027068,-0.783138,-0.125679,0.999996,0.077333,-0.455403,0.98502,0.999957,-0.084653,-0.544597,0.638305,0.999946,0.084272,-0.018582,-0.097741,0.971928,-0.223205,-0.706779,-0.414821,0.996122,0.115892,-0.52323,-1.358678,0.993694,-0.111634,-0.881972,-0.811136,0.946055,0.112758,-0.639219,-1.638491,0.984674,-0.078923,-0.918379,-0.982792,0.756537,0.112183,-0.683513,-1.530595,0.983224,-0.071698,-0.901759,-0.754902,0.724732,0.108471,-0.643556,-1.367069,0.974254,-0.078051,-0.873929,-0.761916,0.73754,0.059511,0.499948,0.106671,0.999109,-0.052191,0.500052,-0.107973,0.999278,0.038063,1.360186,-0.281999,0.950715,-0.091719,1.387245,-0.452865,0.883143,0.010823,2.160975,0.221763,0.903297,-0.132987,2.250595,-0.016979,0.874227,0.00201,2.234598,0.230099,0.408691,-0.132311,2.333101,-0.019219,0.447679,0.008137,2.42851,-0.779009,0.902628,-0.134755,2.434109,-1.031707,0.860715
1041457482627459494.jpg,-0.007136,-0.89211,-0.622801,0.99998,0.008308,-0.960284,-0.537923,0.999934,0.019128,-0.960303,-0.538353,0.999938,0.029228,-0.959962,-0.539047,0.999938,-0.020177,-0.960256,-0.52035,0.999943,-0.029962,-0.960249,-0.519831,0.99994,-0.038548,-0.960153,-0.52053,0.999945,0.043695,-0.928666,0.126373,0.999884,-0.045881,-0.928351,0.188118,0.999924,0.014444,-0.8167,-0.35247,0.999964,-0.024841,-0.820184,-0.33551,0.999975,0.123488,-0.43991,0.470863,0.999948,-0.120679,-0.56009,0.412474,0.999927,0.171222,0.060518,0.549247,0.973948,-0.217959,-0.107076,0.526038,0.983548,0.132665,0.21499,-0.260552,0.957334,-0.133262,0.23374,0.02817,0.90978,0.116912,0.301194,-0.463646,0.933954,-0.114293,0.334279,-0.144156,0.853268,0.09999,0.248378,-0.585887,0.935251,-0.097749,0.287061,-0.153125,0.850712,0.100139,0.21833,-0.305887,0.914506,-0.099753,0.253847,0.031349,0.827241,0.072967,0.480563,0.052016,0.998237,-0.075776,0.519437,-0.052382,0.99801,0.067367,1.229576,-1.074838,0.82721,-0.001261,1.318043,-0.57131,0.781677,0.017986,2.094078,-1.089002,0.713422,0.005565,2.24971,-0.709215,0.668933,0.003251,2.166398,-1.123294,0.282719,0.003719,2.350258,-0.762577,0.251971,0.021637,2.481882,-2.103511,0.704551,0.031018,2.615905,-1.758696,0.595135
108367934775862524.jpg,0.001419,-0.930999,-5.417166,0.999992,0.020489,-0.993298,-5.281012,0.999972,0.029452,-0.991717,-5.28063,0.999976,0.039655,-0.990017,-5.281161,0.999976,-0.012112,-0.995524,-5.306901,0.999962,-0.023893,-0.996006,-5.307496,0.999965,-0.033782,-0.995862,-5.307431,0.99996,0.052498,-0.954071,-3.909032,0.999961,-0.048833,-0.955595,-4.052189,0.999935,0.020109,-0.841857,-4.851762,0.999991,-0.019123,-0.84399,-4.895326,0.999988,0.115011,-0.48515,-2.634268,0.999996,-0.140545,-0.51485,-2.515011,0.999969,0.15982,0.065116,-1.593951,0.993489,-0.176942,0.040056,-1.536203,0.97964,0.238341,0.468799,-2.565798,0.989758,-0.185628,0.567115,-2.346705,0.960448,0.267083,0.592241,-2.852842,0.976735,-0.199435,0.73386,-2.625722,0.92298,0.265835,0.58847,-3.367114,0.979528,-0.191498,0.733814,-3.096366,0.931015,0.253588,0.550145,-2.78412,0.9757,-0.182227,0.682441,-2.548253,0.926507,0.085964,0.469365,-0.080242,0.999686,-0.06043,0.530635,0.078704,0.999335,0.07357,1.414752,-0.494908,0.98059,-0.026568,1.431402,-0.183147,0.945078,0.034655,2.259111,1.402233,0.965679,-0.00342,2.183851,1.815432,0.890331,0.032966,2.324106,1.49715,0.496695,0.001306,2.222165,1.932363,0.496586,0.000855,2.629346,-0.161853,0.945866,-0.017777,2.547875,0.462238,0.899378
116389971611800217.jpg,0.002391,-0.874647,-0.975978,0.999999,0.016606,-0.945245,-0.840341,0.999997,0.024694,-0.944106,-0.840407,0.999997,0.030496,-0.943059,-0.840382,0.999997,-0.012047,-0.942201,-0.843766,0.999997,-0.022679,-0.941516,-0.843474,0.999997,-0.032767,-0.941109,-0.843079,0.999998,0.040621,-0.910055,-0.04777,0.999995,-0.047095,-0.904108,-0.08979,0.999997,0.018743,-0.804807,-0.67081,0.999999,-0.017293,-0.801981,-0.68328,0.999999,0.108038,-0.473894,0.235197,0.999997,-0.112847,-0.526106,0.441028,0.999986,0.193656,-0.067496,0.410282,0.996147,-0.190359,-0.116042,0.746797,0.983599,0.144066,0.250182,-0.457312,0.992945,-0.138398,0.246977,0.112285,0.971393,0.121666,0.316297,-0.714874,0.984109,-0.119808,0.351499,-0.097448,0.942578,0.109428,0.265155,-0.830501,0.983843,-0.105276,0.294498,-0.201235,0.943281,0.112715,0.245488,-0.496499,0.977998,-0.107296,0.266591,0.075023,0.9325,0.062329,0.495645,-0.117952,0.999775,-0.057521,0.504355,0.115937,0.999622,0.021941,1.257145,-0.019897,0.966834,-0.033273,1.254729,0.110865,0.905835,0.031253,2.035228,0.578168,0.961095,-0.003235,1.972153,0.837251,0.913759,0.036521,2.106961,0.58412,0.520905,0.004931,2.024263,0.866551,0.587202,0.012055,2.371777,-0.448894,0.937885,-0.018376,2.304173,-0.004167,0.909272
12-1-683x1024.jpg,0.022586,-0.927401,-0.865553,0.999956,0.034916,-0.98759,-0.730645,0.999854,0.042111,-0.986906,-0.73156,0.999852,0.050711,-0.984864,-0.731993,0.999858,0.004195,-0.989703,-0.747277,0.999879,-0.009495,-0.989342,-0.746839,0.99987,-0.021815,-0.987617,-0.747526,0.999884,0.062357,-0.947561,0.014789,0.999406,-0.045835,-0.949527,-0.091064,0.999858,0.040135,-0.841288,-0.591783,0.999938,-0.003398,-0.849021,-0.618612,0.999947,0.12227,-0.504208,0.19813,0.999957,-0.127131,-0.495792,0.193911,0.999938,0.138132,-0.049097,-0.18741,0.917216,-0.164904,0.044191,0.560424,0.982948,0.125096,-0.000881,-1.645563,0.953385,-0.17743,0.523431,0.180634,0.958278,0.114596,0.055406,-1.931609,0.944911,-0.187744,0.670367,0.040434,0.931404,0.103772,0.014119,-2.021116,0.945434,-0.170119,0.670877,-0.1365,0.933004,0.102232,-0.003897,-1.706411,0.92845,-0.161248,0.637513,0.108394,0.932933,0.070116,0.496226,0.028521,0.99962,-0.065254,0.503774,-0.030019,0.999186,0.028265,1.372585,-0.223917,0.938448,-0.051445,1.34593,-0.191097,0.84873,0.001596,2.233976,-0.444805,0.872295,0.000144,1.977219,1.495748,0.30342,-0.01084,2.353446,-0.499586,0.400301,0.006147,2.049389,1.653453,0.11461,-0.005978,2.490466,-1.383713,0.797446,-0.003995,2.260345,1.247193,0.337522
13792342602668554.jpg,-0.012267,-0.891107,-5.469505,0.999996,0.010647,-0.96969,-5.300179,0.999989,0.025124,-0.971176,-5.300351,0.999989,0.035964,-0.971676,-5.300945,0.999988,-0.030824,-0.972618,-5.279174,0.999987,-0.042387,-0.975439,-5.279567,0.999986,-0.054305,-0.977915,-5.279251,0.999985,0.054862,-0.956757,-3.64615,0.999978,-0.062389,-0.964897,-3.544871,0.999975,0.013008,-0.814859,-4.797076,0.999995,-0.031262,-0.809919,-4.77225,0.999995,0.159268,-0.535179,-2.029706,0.999986,-0.148672,-0.464821,-2.075506,0.999981,0.207002,0.066746,-1.036403,0.987757,-0.171729,0.155446,-1.165432,0.983397,0.239196,0.596893,-2.292477,0.967312,-0.192924,0.698279,-2.376549,0.961871,0.245988,0.754333,-2.67418,0.921745,-0.204087,0.847843,-2.810831,0.925003,0.230108,0.760157,-3.200675,0.926857,-0.191926,0.850017,-3.314642,0.930373,0.221142,0.713594,-2.518912,0.911928,-0.182383,0.809442,-2.6015,0.918772,0.085674,0.50692,0.053924,0.999782,-0.09627,0.49308,-0.057015,0.999745,0.194211,1.396293,-0.517196,0.985944,-0.085088,1.417471,-0.450203,0.986948,0.303551,2.253005,0.757437,0.988799,-0.044008,2.25471,1.049298,0.981436,0.28264,2.368225,0.761604,0.825734,-0.0276,2.36278,1.08256,0.734636,0.372121,2.472457,-1.455443,0.978697,-0.057449,2.536221,-1.060651,0.968246
139893132171065381.jpg,-0.006188,-0.895564,-2.392307,0.999967,0.011798,-0.961943,-2.303422,0.999932,0.020251,-0.96384,-2.30365,0.999927,0.028283,-0.964766,-2.304134,0.999924,-0.022675,-0.95749,-2.308049,0.999925,-0.033197,-0.956076,-2.308314,0.999922,-0.043958,-0.954823,-2.308805,0.999916,0.043139,-0.936618,-1.611801,0.999907,-0.053635,-0.924378,-1.631509,0.999908,0.014829,-0.822772,-2.121651,0.999985,-0.024722,-0.81788,-2.127328,0.99998,0.130659,-0.498123,-1.020303,0.999956,-0.118693,-0.501877,-1.158821,0.999906,0.150578,0.111991,-0.560052,0.994308,-0.144621,0.10597,-0.91561,0.986486,0.168575,0.611947,-1.040326,0.983882,-0.182778,0.638461,-1.453765,0.955311,0.17984,0.765714,-1.216338,0.95539,-0.196771,0.797516,-1.61057,0.903079,0.159909,0.774488,-1.40399,0.962363,-0.175356,0.80226,-1.862938,0.918334,0.150515,0.726583,-1.12216,0.964571,-0.166972,0.751859,-1.56035,0.921363,0.070328,0.504827,0.043537,0.99893,-0.082294,0.495173,-0.042013,0.998264,0.060013,1.249742,-0.14957,0.504137,-0.074769,1.27455,0.103984,0.446512,0.068969,1.928998,1.4372,0.047295,-0.06745,1.903205,1.423347,0.043009,0.064939,2.014849,1.553568,0.043245,-0.066343,1.9931,1.525027,0.031462,0.069658,2.172509,0.803719,0.031356,-0.055332,2.141585,0.66765,0.031749
208924870209199788.jpg,0.014123,-0.921863,-0.737986,0.999372,0.032933,-0.973484,-0.535142,0.998602,0.041237,-0.970184,-0.536267,0.998519,0.051059,-0.966983,-0.53732,0.99879,0.002246,-0.982405,-0.56174,0.998317,-0.009529,-0.985163,-0.56145,0.997928,-0.02057,-0.987398,-0.560874,0.998124,0.062632,-0.924894,0.563528,0.997898,-0.034547,-0.953858,0.418306,0.996089,0.030713,-0.83313,-0.319822,0.998506,-0.010179,-0.846755,-0.362031,0.9982,0.115464,-0.50262,0.824964,0.999821,-0.117678,-0.49738,1.048801,0.998719,0.105387,0.07466,0.730488,0.911637,-0.122378,0.037026,0.870711,0.623463,-0.050683,0.04878,0.0917,0.845194,-0.073933,0.031282,-0.293504,0.508686,-0.101878,0.021724,-0.222976,0.762579,-0.06028,-0.002681,-0.615485,0.479458,-0.101156,-0.036277,-0.183437,0.76267,-0.085637,-0.068817,-0.725349,0.479485,-0.084228,-0.020344,0.102617,0.723137,-0.077717,-0.050597,-0.370136,0.452035,0.066419,0.493374,0.024016,0.998945,-0.064205,0.506626,-0.022886,0.996952,0.080821,1.413166,-0.613606,0.87494,-0.047976,1.359071,-0.213612,0.78223,0.09465,2.212464,0.137136,0.811909,-0.034473,2.174492,0.91353,0.702339,0.083313,2.289757,0.15347,0.357892,-0.031781,2.256389,0.967643,0.282711,0.098691,2.540611,-1.238603,0.739895,-0.023103,2.491324,-0.312634,0.629631
