filename,x_0,y_0,z_0,v_0,x_1,y_1,z_1,v_1,x_2,y_2,z_2,v_2,x_3,y_3,z_3,v_3,x_4,y_4,z_4,v_4,x_5,y_5,z_5,v_5,x_6,y_6,z_6,v_6,x_7,y_7,z_7,v_7,x_8,y_8,z_8,v_8,x_9,y_9,z_9,v_9,x_10,y_10,z_10,v_10,x_11,y_11,z_11,v_11,x_12,y_12,z_12,v_12,x_13,y_13,z_13,v_13,x_14,y_14,z_14,v_14,x_15,y_15,z_15,v_15,x_16,y_16,z_16,v_16,x_17,y_17,z_17,v_17,x_18,y_18,z_18,v_18,x_19,y_19,z_19,v_19,x_20,y_20,z_20,v_20,x_21,y_21,z_21,v_21,x_22,y_22,z_22,v_22,x_23,y_23,z_23,v_23,x_24,y_24,z_24,v_24,x_25,y_25,z_25,v_25,x_26,y_26,z_26,v_26,x_27,y_27,z_27,v_27,x_28,y_28,z_28,v_28,x_29,y_29,z_29,v_29,x_30,y_30,z_30,v_30,x_31,y_31,z_31,v_31,x_32,y_32,z_32,v_32
0656746b1c0347aacbd7ca256a6ecd1e.jpg,0.072923,-0.971433,-3.387115,1.0,0.122636,-1.023024,-3.225711,1.0,0.161468,-1.021866,-3.229011,1.0,0.201636,-1.018872,-3.228986,1.0,0.00021,-1.023005,-3.253517,1.0,-0.042199,-1.02062,-3.256959,1.0,-0.082311,-1.018096,-3.258912,1.0,0.22016,-0.976815,-2.161534,1.0,-0.163918,-0.969283,-2.275966,0.9999,0.149117,-0.886855,-2.957619,1.0,-0.015619,-0.886083,-3.0101,1.0,0.509531,-0.478912,-1.476173,1.0,-0.503977,-0.521088,-1.448784,1.0,0.659566,0.040699,-1.009192,0.9642,-0.673703,0.058312,-1.511866,0.9638,0.804303,0.521185,-1.59601,0.98,-0.806706,0.528654,-2.58221,0.9886,0.852901,0.679167,-1.796756,0.9693,-0.841455,0.690533,-2.880954,0.9815,0.823004,0.686941,-2.15649,0.9738,-0.816823,0.69482,-3.210462,0.9839,0.782246,0.641005,-1.738154,0.9672,-0.773882,0.649033,-2.742333,0.9792,0.305575,0.493124,-0.066247,1.0,-0.311129,0.506876,0.062772,0.9999,0.190488,1.248831,-0.545326,0.8548,-0.179435,1.265046,-0.211062,0.6427,0.089766,2.012559,0.309669,0.9153,0.016109,1.887829,1.44069,0.7425,0.048835,2.076621,0.325938,0.5908,0.070831,1.956302,1.571051,0.3871,0.0047,2.365148,-0.785846,0.9199,-0.04649,2.170192,0.745968,0.7602
0cc474bfc2c0042cd08ebf5d09251e89.jpg,-0.015829,-0.873365,-1.788389,1.0,0.04232,-0.941741,-1.671356,1.0,0.07721,-0.941559,-1.673811,0.9999,0.119527,-0.940985,-1.673563,1.0,-0.091612,-0.942614,-1.712359,1.0,-0.134053,-0.941359,-1.71568,1.0,-0.165783,-0.940602,-1.717039,1.0,0.137097,-0.91798,-0.872463,1.0,-0.234673,-0.923511,-1.047537,0.9999,0.056403,-0.805407,-1.4483,1.0,-0.090621,-0.810176,-1.518751,1.0,0.407024,-0.51294,-0.365109,1.0,-0.500311,-0.48706,-0.560287,1.0,0.564166,0.036614,-0.024376,0.9627,-0.580347,0.077426,-0.402794,0.9547,0.646234,0.541631,-0.551389,0.9799,-0.669664,0.586191,-0.734984,0.9803,0.68274,0.691197,-0.693839,0.9689,-0.678505,0.735912,-0.885482,0.971,0.626717,0.699949,-0.96172,0.9732,-0.616565,0.731908,-1.131917,0.974,0.592318,0.646219,-0.6559,0.9657,-0.577308,0.677956,-0.843246,0.9668,0.305989,0.488344,0.104555,0.9999,-0.212702,0.511656,-0.107575,0.9999,0.269338,1.319144,0.066635,0.815,0.015581,1.351347,-0.164567,0.7859,0.161821,2.081949,0.753257,0.8352,-0.039644,2.112641,0.43814,0.8868,0.119135,2.128772,0.765715,0.4214,-0.031084,2.164544,0.461328,0.3825,0.07193,2.40483,-0.184705,0.8806,-9e-06,2.439755,-0.516746,0.8908
10133167905951861.jpg,0.186543,-0.808923,-0.600935,1.0,0.198264,-0.879617,-0.495646,1.0,0.22055,-0.879711,-0.496915,0.9999,0.240218,-0.879505,-0.496856,1.0,0.105043,-0.881474,-0.568923,1.0,0.064439,-0.88308,-0.571258,1.0,0.023538,-0.886935,-0.571994,1.0,0.201219,-0.851209,0.132703,1.0,-0.041648,-0.855005,-0.204206,0.9999,0.197129,-0.747277,-0.339659,1.0,0.101141,-0.746809,-0.45338,1.0,0.355875,-0.453465,0.41863,1.0,-0.37826,-0.546535,0.080206,0.9999,0.384208,0.016903,-0.112476,0.8828,-0.962821,-0.689621,-0.23536,0.9658,0.502337,-0.520537,-1.040864,0.982,-0.453521,-0.857334,-0.174115,0.8968,0.451436,-0.63121,-1.203673,0.975,-0.320839,-0.91291,-0.214578,0.7735,0.495222,-0.686231,-1.19347,0.9743,-0.269914,-0.874905,-0.117214,0.743,0.495783,-0.640181,-1.050059,0.9565,-0.298106,-0.828584,-0.139045,0.7129,0.236716,0.495542,0.117614,0.9998,-0.214331,0.504458,-0.119349,0.9999,0.162222,1.410466,0.065111,0.1237,-0.384095,1.410223,-0.670666,0.4263,0.068238,2.190112,0.333683,0.2717,-0.555036,2.312791,-0.638288,0.5077,0.043928,2.281699,0.320319,0.1292,-0.557156,2.374029,-0.65958,0.1738,0.031595,2.463881,-0.346077,0.3012,-0.552769,2.47299,-1.383062,0.4666
1041457482627459494.jpg,-0.039698,-0.845864,-1.220442,0.9999,0.022207,-0.93104,-1.090455,0.9998,0.062311,-0.933546,-1.092607,0.9998,0.104965,-0.931369,-1.092561,0.9999,-0.103999,-0.922391,-1.107287,0.9999,-0.150174,-0.918058,-1.110928,0.9999,-0.185489,-0.915232,-1.112634,0.9999,0.146353,-0.904439,-0.253936,0.9999,-0.215036,-0.887666,-0.328269,0.9998,0.0463,-0.772109,-0.868377,0.9999,-0.104351,-0.774518,-0.910747,0.9999,0.501319,-0.457419,0.252831,1.0,-0.503171,-0.542581,0.092647,1.0,0.69567,0.062709,-0.060533,0.99,-0.92457,-0.114109,-0.034895,0.9459,0.61269,0.194489,-1.61424,0.9955,-0.564426,0.214154,-1.066251,0.9165,0.536792,0.287778,-1.970819,0.9944,-0.512223,0.334548,-1.374034,0.9022,0.459742,0.20516,-2.123759,0.995,-0.408128,0.2891,-1.491975,0.9103,0.432124,0.177553,-1.698042,0.9927,-0.395262,0.249409,-1.141227,0.8938,0.325326,0.494433,0.148036,0.9998,-0.323473,0.505567,-0.150006,0.9998,0.228678,1.254909,-0.295524,0.7928,-0.091016,1.263486,-1.019892,0.9061,0.050047,2.079304,0.261878,0.7556,0.014263,2.19133,-0.935325,0.894,-0.007044,2.154144,0.266483,0.3774,0.011402,2.291002,-0.959326,0.4649,0.053085,2.448621,-0.796507,0.7434,0.131352,2.511509,-2.116645,0.852
108367934775862524.jpg,0.035846,-0.910716,-2.403878,1.0,0.10449,-0.975035,-2.245714,1.0,0.137375,-0.9741,-2.248666,1.0,0.186228,-0.971436,-2.248755,1.0,-0.025727,-0.980864,-2.292583,1.0,-0.076867,-0.982674,-2.296293,1.0,-0.111905,-0.984768,-2.298018,1.0,0.216098,-0.933599,-1.265303,1.0,-0.188434,-0.963162,-1.474374,1.0,0.10455,-0.826935,-2.006865,1.0,-0.047563,-0.841743,-2.087446,1.0,0.486952,-0.484523,-0.722233,1.0,-0.608261,-0.515477,-0.784945,1.0,0.693823,0.055378,-0.260227,0.968,-0.740421,0.070183,-0.619883,0.9784,1.023346,0.445747,-0.740659,0.9797,-0.788197,0.591097,-1.275693,0.9927,1.133149,0.593192,-0.850552,0.9677,-0.850381,0.740584,-1.453358,0.987,1.167638,0.588405,-1.19354,0.9729,-0.818594,0.75403,-1.769932,0.9887,1.112343,0.546677,-0.877007,0.9706,-0.75306,0.708565,-1.421499,0.9868,0.367425,0.474884,-0.035939,1.0,-0.246117,0.525116,0.031867,1.0,0.345259,1.407246,-0.244667,0.9635,-0.1149,1.440107,-0.357662,0.9302,0.193195,2.27544,0.553503,0.9679,-0.014363,2.146523,0.910035,0.9443,0.171288,2.32971,0.5761,0.6953,0.05178,2.198539,1.011125,0.6323,-0.002961,2.666075,-0.46234,0.9648,-0.065104,2.527702,0.179621,0.9362
116389971611800217.jpg,-0.006361,-0.874228,-0.913263,1.0,0.060478,-0.942594,-0.806296,0.9999,0.1029,-0.939887,-0.808468,0.9999,0.127313,-0.938788,-0.808241,0.9999,-0.066058,-0.942643,-0.826013,0.9999,-0.105437,-0.942703,-0.829178,0.9999,-0.140256,-0.943648,-0.830409,0.9999,0.155362,-0.908715,-0.144771,0.9999,-0.191322,-0.906369,-0.224529,0.9998,0.065939,-0.798179,-0.628808,0.9999,-0.07609,-0.808113,-0.67252,0.9999,0.460637,-0.476333,0.240894,1.0,-0.475714,-0.523667,0.215304,1.0,0.805972,-0.076751,0.52757,0.9618,-0.80246,-0.101048,0.243915,0.9372,0.612663,0.260291,-0.187049,0.9861,-0.562994,0.267703,-0.542092,0.9735,0.541297,0.29244,-0.375253,0.9826,-0.498841,0.330209,-0.78242,0.9705,0.464924,0.227254,-0.560585,0.9848,-0.442634,0.274656,-0.925187,0.9731,0.460169,0.215787,-0.25914,0.9783,-0.439793,0.251338,-0.620323,0.96,0.271862,0.495843,-0.012126,0.9998,-0.256784,0.504157,0.010225,0.9997,0.065964,1.290367,-0.023811,0.5034,-0.129891,1.29219,-0.1313,0.4261,0.140493,2.079281,0.156639,0.5876,-0.025974,2.054418,0.23208,0.5186,0.15936,2.160697,0.115645,0.2274,0.013625,2.132482,0.23435,0.1721,0.051942,2.379387,-0.81479,0.6868,-0.050119,2.342011,-0.57445,0.5923
12-1-683x1024.jpg,0.056025,-0.879825,-1.856693,0.9998,0.120175,-0.946823,-1.661549,0.9996,0.155058,-0.945121,-1.66425,0.9995,0.199377,-0.942303,-1.664048,0.9996,-0.014383,-0.946693,-1.681744,0.9998,-0.062822,-0.944561,-1.685179,0.9998,-0.099607,-0.943108,-1.68682,0.9998,0.219724,-0.908784,-0.534943,0.9996,-0.176759,-0.91414,-0.603895,0.9995,0.129755,-0.810283,-1.399919,0.9997,-0.022246,-0.809788,-1.441143,0.9997,0.46697,-0.496158,-0.03399,0.9999,-0.467211,-0.503842,0.128784,0.9999,0.585735,0.012735,-0.784965,0.9068,-0.625143,0.022707,0.213387,0.9559,0.371128,0.070178,-2.909521,0.9669,-0.659739,0.454264,-1.008567,0.9911,0.29736,0.116719,-3.414855,0.9682,-0.695732,0.599766,-1.358297,0.9875,0.277646,0.054008,-3.567868,0.972,-0.645041,0.596285,-1.684474,0.9891,0.280558,0.03697,-3.014775,0.9543,-0.606544,0.55496,-1.171808,0.9835,0.259083,0.496273,-0.121422,0.9998,-0.258842,0.503727,0.118585,0.9998,0.117038,1.307278,-0.60479,0.7831,-0.258727,1.311856,-0.170974,0.5702,-0.003942,2.090901,-0.19223,0.8921,-0.001757,1.918208,1.441113,0.5527,-0.041441,2.179631,-0.23249,0.6235,0.068297,1.954231,1.551614,0.3215,-0.003441,2.323176,-1.549322,0.8716,-0.091394,2.175051,0.588301,0.5233
13792342602668554.jpg,-0.075079,-0.876593,-5.526867,1.0,0.004672,-0.952837,-5.347268,1.0,0.075895,-0.954984,-5.351461,0.9999,0.126353,-0.955323,-5.350991,1.0,-0.132618,-0.951061,-5.361253,1.0,-0.173308,-0.951115,-5.366034,1.0,-0.213071,-0.951318,-5.368715,1.0,0.165659,-0.938331,-3.749565,1.0,-0.259295,-0.933947,-3.789864,0.9999,0.016104,-0.807437,-4.843492,1.0,-0.120322,-0.811729,-4.88293,1.0,0.635374,-0.549317,-2.162395,1.0,-0.643425,-0.450683,-2.342148,1.0,0.848682,0.035444,-1.387377,0.993,-0.779355,0.154343,-2.026671,0.9788,1.007794,0.57095,-2.806384,0.9923,-0.835728,0.642898,-3.558215,0.982,0.992447,0.729927,-3.249758,0.9827,-0.847732,0.803451,-4.124663,0.9621,0.966985,0.730319,-3.798568,0.9852,-0.807667,0.81298,-4.599509,0.9668,0.931411,0.679183,-3.036182,0.9778,-0.770772,0.76768,-3.796882,0.9539,0.379859,0.504762,0.118095,1.0,-0.371808,0.495238,-0.120808,1.0,0.801339,1.410132,0.079312,0.9904,-0.392656,1.416248,-0.305299,0.982,1.266897,2.234702,1.206922,0.9919,-0.233834,2.241386,1.261446,0.9824,1.229158,2.365664,1.167986,0.861,-0.14399,2.332517,1.308077,0.7724,1.615262,2.414634,-1.193843,0.9894,-0.276209,2.482391,-0.880829,0.975
139893132171065381.jpg,-0.026085,-0.886169,-2.106605,1.0,0.025544,-0.954,-2.01739,0.9999,0.050652,-0.954085,-2.019064,0.9999,0.076277,-0.952668,-2.019375,0.9999,-0.069438,-0.952285,-2.008127,1.0,-0.091782,-0.951158,-2.010449,1.0,-0.11979,-0.952157,-2.01216,1.0,0.109741,-0.930617,-1.39473,0.9999,-0.148047,-0.924499,-1.339571,0.9999,0.027407,-0.816126,-1.850223,1.0,-0.070607,-0.80799,-1.845786,1.0,0.334781,-0.506911,-0.956873,1.0,-0.331432,-0.493089,-0.872774,1.0,0.399957,0.100344,-0.679802,0.9972,-0.408974,0.131628,-0.635308,0.9977,0.462822,0.675228,-1.064226,0.9944,-0.487575,0.707038,-0.997362,0.9985,0.482157,0.828983,-1.207456,0.986,-0.501954,0.873829,-1.164359,0.9951,0.441829,0.837106,-1.425351,0.9877,-0.467047,0.881999,-1.372109,0.9957,0.413345,0.791831,-1.150457,0.9859,-0.433691,0.83422,-1.090283,0.9949,0.195485,0.503892,-0.018947,0.999,-0.198834,0.496108,0.017414,0.9993,0.165776,1.249565,-0.372183,0.5408,-0.191099,1.269782,-0.266758,0.4821,0.166683,1.970598,0.430748,0.0946,-0.206547,1.958709,0.71366,0.0886,0.168313,2.036035,0.478681,0.0394,-0.195045,2.03581,0.792104,0.0412,0.066046,2.240651,-0.068739,0.0657,-0.188977,2.232535,0.310883,0.0554
208924870209199788.jpg,0.039161,-0.901294,-0.557587,0.9998,0.12918,-0.956177,-0.460854,0.9997,0.164371,-0.950432,-0.463705,0.9996,0.203473,-0.945268,-0.463638,0.9998,-0.012872,-0.968234,-0.430062,0.9998,-0.061456,-0.970239,-0.433593,0.9998,-0.09432,-0.973844,-0.435193,0.9999,0.252056,-0.899019,0.16066,0.9998,-0.147667,-0.951655,0.295607,0.9994,0.114614,-0.82529,-0.287253,0.9998,-0.054667,-0.841543,-0.274256,0.9997,0.503971,-0.48504,0.244766,1.0,-0.488198,-0.51496,0.919742,0.9999,0.451698,0.118993,0.224075,0.8464,-0.58329,0.05556,0.372158,0.347,-0.340749,0.021682,-0.431843,0.8218,-0.510119,-0.030625,-1.295173,0.542,-0.505521,-0.012022,-0.634198,0.7913,-0.596758,-0.077554,-1.630711,0.6113,-0.503032,-0.090432,-0.661188,0.7878,-0.580634,-0.148328,-1.711853,0.612,-0.426776,-0.07295,-0.421703,0.7024,-0.526634,-0.132895,-1.381691,0.5432,0.277293,0.491973,-0.163781,0.9999,-0.293065,0.508027,0.161695,0.9999,0.375981,1.375195,-0.216217,0.2857,-0.23162,1.398665,-0.095496,0.1609,0.416441,2.195701,0.330791,0.2004,-0.128713,2.202517,0.498057,0.2162,0.383219,2.261975,0.324991,0.0638,-0.057774,2.256593,0.520406,0.0702,0.396267,2.450369,-0.634465,0.2411,-0.122017,2.416364,-0.369249,0.224
